census_version,source_layer,source_feature_index,raw_state_name,raw_district_name,raw_state_code,raw_district_code,normalized_state_name,normalized_district_name,state_compare_key,district_compare_key,geometry_type,geometry_valid,geometry_area_native
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,399,Jammu and Kashmir,Pulwama,01,05,JAMMU AND KASHMIR,PULWAMA,JAMMUANDKASHMIR,PULWAMA,Polygon,True,0.14303687559055114
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,400,Karnataka,Raichur,29,06,KARNATAKA,RAICHUR,KARNATAKA,RAICHUR,Polygon,True,0.7137449991406214
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,401,Chhattisgarh,Raigarh,22,04,CHHATTISGARH,RAIGARH,CHHATTISGARH,RAIGARH,MultiPolygon,True,0.6199636275531146
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,402,Chhattisgarh,Raipur,22,11,CHHATTISGARH,RAIPUR,CHHATTISGARH,RAIPUR,Polygon,True,1.081528591466162
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,403,Madhya Pradesh,Raisen,23,34,MADHYA PRADESH,RAISEN,MADHYAPRADESH,RAISEN,Polygon,True,0.749675476812038
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,404,Chhattisgarh,Rajnandgaon,22,09,CHHATTISGARH,RAJNANDGAON,CHHATTISGARH,RAJNANDGAON,Polygon,True,0.699882164506198
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,405,Rajasthan,Rajsamand,08,25,RAJASTHAN,RAJSAMAND,RAJASTHAN,RAJSAMAND,MultiPolygon,True,0.4302090011427865
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,406,Jammu and Kashmir,Rajauri,01,12,JAMMU AND KASHMIR,RAJAURI,JAMMUANDKASHMIR,RAJAURI,Polygon,True,0.186792324641762
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,407,Madhya Pradesh,Rajgarh,23,30,MADHYA PRADESH,RAJGARH,MADHYAPRADESH,RAJGARH,Polygon,True,0.5430624689324561
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,408,Gujarat,Rajkot,24,09,GUJARAT,RAJKOT,GUJARAT,RAJKOT,Polygon,True,0.98111261238401
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,409,Tamil Nadu,Ramanathapuram,33,27,TAMIL NADU,RAMANATHAPURAM,TAMILNADU,RAMANATHAPURAM,Polygon,True,0.3250090761343032
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,410,Uttar Pradesh,Rampur,09,05,UTTAR PRADESH,RAMPUR,UTTARPRADESH,RAMPUR,Polygon,True,0.2377341405559874
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,411,Mizoram,Saiha,15,08,MIZORAM,SAIHA,MIZORAM,SAIHA,Polygon,True,0.17299996118316327
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,412,Tamil Nadu,Salem,33,08,TAMIL NADU,SALEM,TAMILNADU,SALEM,Polygon,True,0.43264037705234293
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,413,Bihar,Samastipur,10,19,BIHAR,SAMASTIPUR,BIHAR,SAMASTIPUR,Polygon,True,0.2611080151048071
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,414,Orissa,Sambalpur,21,03,ORISSA,SAMBALPUR,ORISSA,SAMBALPUR,Polygon,True,0.586061640328522
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,415,Maharashtra,Sangli,27,35,MAHARASHTRA,SANGLI,MAHARASHTRA,SANGLI,Polygon,True,0.7270371509740655
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,416,Punjab,Sangrur,03,16,PUNJAB,SANGRUR,PUNJAB,SANGRUR,Polygon,True,0.47663908054257226
